client_id,name,new_client_id,subcontractor id,x
130036,"Office of Commercial Affairs, Royal Thai Embassy, Washington, DC (OCA)",,,x
130347,Office of Her Highness Sheikha Mozah Bint Nasser Al-Missned,,,x
129850,Office of Privacy Commissioner of Canada,,,x
130088,"Office of the Cabinet Secretariat of the Prime Minister of Japan, Cabinet Counselor",,,x
129905,Office of the Japanese Consul General,,,x
130255,Office of the President of Liberia,,,x
129909,Office of the President of the Republic of Congo,,,x
129966,"Office of the President, Government of the Republic of Cote d'Ivoire (CI)",,,x
130120,Office of the Prime Minister of Canada,,,x
130075,Oficina De Visitantes Y Convenciones De La Riviera Nayarit,,,x
130328,OLF - FRONA Oromo Liberation Front Foreign Relations Office in North America,,,x
130220,One NorthEast,,,x
129762,Order of Malta,,,x
129867,Oromo Liberation Front (OLF),,,x
129923,Osaka Prefectural Government,,,x
129982,"Osaka University, Japan",,,x
130128,"Pacific Consultants Co., Ltd",,,x
130136,Pakistan International Airlines Corporation,,,x
130277,"Pakistan Peoples Party (PPP); Asif Ali Zardari, Co-Chairperson of the PPP",,,x
130366,Pakistan Tehreek E Insaf,,,x
129930,Palestinian Liberation Organization,,,x
129830,Panama Canal Authority,,,x
130383,Parliament of Romania,,,x
130178,Partido Accion Nacional (PAN),,,x
130354,"Partidul Social Democrat (""PSD"")",,,x
130023,Paul Calder LeRoux,,,x
130382,PDI (Party for Justice and Integration),,,x
130368,Peace and Democracy Party of Turkey (BDP),,,x
129900,People's Daily Overseas Edition,,,x
129787,People's Party of Pakistan,,,x
130121,"Pertierra & Toro, P.C.",,,x
130082,Peruvian Export and Tourism Promotion Board - PROMPERU,,,x
130116,Plasan Sasa Ltd,,,x
129871,Polish Tourist Organization,,,x
130042,Portland PR,,,x
129879,Pottawatomi Nation (Canada Keewatinosagiganing Pottawatomi),,,x
129893,Presidency of Azerbaijan,,,x
130004,President Sassou-Nguesso,,,x
130168,Prime Minister of Zimbabwe,,,x
130332,Princess Haya Bint Al Hussein,,,x
130272,Principality of Liechtenstein,,,x
130276,"Principality of Liechtenstein (Barnes, Bell, DeArment, Eizenstat, Frischmann, Gold, Larson, Letchwor",,,x
129993,ProExport Colombia,,,x
129998,"Prof. Eng. Matoug M. Matoug Secretary of General People's Committee for Manpower, Training + Employment Tripoli, Libya",,,x
130083,Promotion and Investment Board,,,x
130293,Promotion and Investment Board,,,x
130338,Province of Alberta,,,x
130252,Province of Manitoba,,,x
129814,Province of Ontario,,,x
130253,Province of Quebec,,,x
130017,Provinces of Manitoba and Quebec,,,x
129751,Quebec Government (Ministry Of International Relations); National Affairs; Governmental Relations an,,,x
130360,RAK Ceramics,,,x
130249,Ranhill,,,x
130267,Ras Al Khaimah,,,x
130265,Ras Al Khaimah Investment Authority,,,x
130144,RECREAR,,,x
130215,Religare Enterprises Limited,,,x
130164,Republic of Belarus,,,x
130129,Republic of Djibouti,,,x
129986,Republic of Equatorial Guinea,,,x
129849,"Republic of Equatorial Guinea, Embassy",,,x
130285,Republic of Georgia,,,x
130130,Republic of Guyana,,,x
130306,Republic of India,,,x
130054,Republic of Iraq,,,x
130099,Republic of Kenya,,,x
130251,"Republic of Macedonia, Embassy",,,x
129971,Republic of Montenegro,,,x
130056,Republic of Panama,,,x
129785,Republic of Singapore (Singapore Tourism Board),,,x
129863,Republic of the Marshall Islands,,,x
130275,"Republic of the Philippines (Almond, Han, Morgan, B. Smith, J. Smith, Wright)",,,x
130284,Republic of Turkey,,,x
129911,"Ricardo, UK",,,x
130387,Romania's Ministry of Regional Development and Tourism,,,x
130302,Rongelap Atoll Local Government,,,x
130333,Rosia Montana Gold Corporation SA,,,x
130101,"Royal Hashemite Court, Hashemite Kingdom Of Jordan",,,x
130041,Royal Norwegian Embassy,,,x
130270,Royal Norwegian Ministry of Foreign Affairs,,,x
130291,Royal Thai Embassy,,,x
129974,Russian Federal Property Fund,,,x
130013,Russian Federation,,,x
130196,Saint Lucia Tourist Board,,,x
130081,Saskatchewan Industry & Resources,,,x
129855,Saudi Arabian Oil Company The Government of the Kingdom of Saudi Arabia,,,x
129817,Saudi Basic Industry Corporation (SABIC),,,x
130381,Savunma Teknolojileri Muhendislik ve Ticaret AS (STM),,,x
129809,Scottish Enterprise,,,x
130001,Secretaria de Agricultura Ganderia Desarollo Rural Pesca y Alimentacion (SAGARPA),,,x
129835,Senado de Republica/Mexican Senate,,,x
129951,Serbia,,,x
130141,Serbian Investment and Export Promotion Agency (SIEPA),,,x
130027,Serbian National Council for Kosovo and Metohija,,,x
130353,Sheikh Khalid Bin Saqr Al Qasimi,,,x
